image: hotel-room.webp roomNumber: 101 roomID: R101 roomType: Single Bed amenities: Wi-Fi,TV,Air Conditioning price: 100 offerPrice: 90 status: available 
image: hotel-room.webp roomNumber: 105 roomID: R105 roomType: Single Bed amenities: Wi-Fi,TV,Air Conditioning price: 100 offerPrice: 90 status: available 
image: hotel-room.webp roomNumber: 109 roomID: R109 roomType: Single Bed amenities: Wi-Fi,TV,Air Conditioning price: 100 offerPrice: 90 status: booked 
image: hotel-room.webp roomNumber: 106 roomID: R106 roomType: Double Bed amenities: Wi-Fi,TV,Mini Bar price: 150 offerPrice: 135 status: booked 
image: hotel-room.webp roomNumber: 110 roomID: R110 roomType: Double Bed amenities: Wi-Fi,TV,Mini Bar price: 150 offerPrice: 135 status: available 
image: hotel-room.webp roomNumber: 102 roomID: R102 roomType: Double Bed amenities: Wi-Fi,TV,Mini Bar price: 150 offerPrice: 135 status: available 
image: hotel-room.webp roomNumber: 103 roomID: R103 roomType: Double Superior amenities: Wi-Fi,TV,Air Conditioning,Balcony price: 200 offerPrice: 180 status: booked 
image: hotel-room.webp roomNumber: 107 roomID: R107 roomType: Double Superior amenities: Wi-Fi,TV,Air Conditioning,Balcony price: 200 offerPrice: 180 status: available 
image: hotel-room.webp roomNumber: 104 roomID: R104 roomType: Suite amenities: Wi-Fi,TV,Mini Bar,Jacuzzi price: 300 offerPrice: 270 status: available 
image: hotel-room.webp roomNumber: 108 roomID: R108 roomType: Suite amenities: Wi-Fi,TV,Mini Bar,Jacuzzi price: 300 offerPrice: 270 status: available 
